﻿Title,URL
"Learn JavaScript, Front-End Web Development and Node.js with Frontend Masters Courses","https://frontendmasters.com/courses/"
"Red Hat Developer | Red Hat build of Quarkus Getting Started","https://developers.redhat.com/products/quarkus/getting-started"
"Red Hat OpenShift","https://www.redhat.com/en/technologies/cloud-computing/openshift"
"rohitghatol/spring-boot-microservices: Spring Boot Template for Micro services Architecture - Show cases how to use Zuul for API Gateway, Spring OAuth 2.0 as Auth Server, Multiple Resource (Web Services) Servers, Angular Web App, Eureka dor registration and Discover and Hystrix for circuit breaker","https://github.com/rohitghatol/spring-boot-microservices"
"Java Coding Problems","https://subscription.packtpub.com/book/programming/9781789801415"
"Kuma","https://kuma.io/?itm_source=website&itm_medium=nav"
"O que é service mesh?","https://www.redhat.com/pt-br/topics/microservices/what-is-a-service-mesh"
"Descomplicando Service Mesh 1/3 - Getup Cloud","https://blog.getupcloud.com/descomplicando-service-mesh-1-3-9abf298a4a"
"Descomplicando Service Mesh 2/3 - Getup Cloud","https://blog.getupcloud.com/descomplicando-service-mesh-2-3-498f1d8b4ce7"
"Descomplicando Service Mesh 3/3 - Getup Cloud","https://blog.getupcloud.com/descomplicando-service-mesh-3-3-5c4a042bb53d"
"Service Mesh: O que é e por que você deve considerá-lo | Sensedia","https://sensedia.com/api/service-mesh-o-que-e/"
"Service Mesh: Promessa ou Risco?","https://www.infoq.com/br/articles/service-mesh-promise-peril/"
"Istio / What is Istio?","https://istio.io/latest/docs/concepts/what-is-istio/"
"Open Source API Gateway | Kong Microservices API Gateway - KongHQ","https://konghq.com/kong/"
"Kubernetes Ingress - KongHQ","https://konghq.com/solutions/kubernetes-ingress/?itm_source=website&itm_medium=nav"
"KubeSail | Deployment","https://kubesail.com/apps"
"Events | Datadog","https://app.datadoghq.com/event/stream?tags_execution=and&show_private=true&per_page=30&query=priority%3Anormal&aggregate_up=true&use_date_happened=false&display_timeline=true&from_ts=1592181600000&priority=normal&is_zoomed=false&to_ts=1592185200000&is_auto=false&incident=true&only_discussed=false&no_user=false&page=0&status=all&live=true&bucket_size=60000"
"CNCF Cloud Native Interactive Landscape","https://landscape.cncf.io/category=observability-and-analysis&format=card-mode&grouping=category"
"prometheus/prometheus: The Prometheus monitoring system and time series database.","https://github.com/prometheus/prometheus"
"jaegertracing/jaeger: CNCF Jaeger, a Distributed Tracing Platform","https://github.com/jaegertracing/jaeger"
"grafana/loki: Like Prometheus, but for logs.","https://github.com/grafana/loki"
"Microservices, Service Mesh, and CI/CD Pipelines: Making It All Work Together [I] - Brian Redmond - YouTube","https://www.youtube.com/watch?v=UbLG_qUyCgM"
"Webinar: Kubernetes: Zero to Hero Deployments and Management - YouTube","https://www.youtube.com/watch?v=I-jDWr69MoM"
